category,text
Sci/Tech,"Reuters - The mystery of what went wrong for the
software industry in late June when sales stalled at more than
20 brand-name companies is not even close to being solved
although the third quarter is nearly halfway over."
Sci/Tech,AP - Google Inc. forged ahead with its IPO auction even as the online search engine leader acknowledged a newly published magazine interview with its founders contained misleading information.
Sci/Tech,AP - The Norwegian hacker famed for developing DVD encryption-cracking software has apparently struck again — this time breaking the locks on Apple Computer Inc.'s wireless music streaming technology.
Sci/Tech,"Reuters - The ability to download complete
tracks directly over cell-phone networks to mobile phones is
becoming a reality in Europe."
Sci/Tech,"TechWeb - News - August 13, 2004"
Sci/Tech,"Reuters - Oracle Corp. sales documents
detailing highly confidential information, such as which
companies receive discounts on Oracle's business software
products and the size of the discounts, are likely to be made
public, a federal judge said on Friday."
Sci/Tech,PC World - Developers get early code for new operating system 'skin' still being crafted.
Sci/Tech,"MacCentral - Apple Computer Inc. will open its second Japanese retail store later this month in the western Japanese city of Osaka, it said Thursday."
Sci/Tech,AP - Hurricane Charley's 145-mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm's intensity — even with all the latest satellite and radar technology.
Sci/Tech,"AP - With more than 4,000 scientists, including 48 Nobel Prize winners, having signed a statement opposing the Bush administration's use of scientific advice, this election year is seeing a new development in the uneasy relationship between science and politics."
Sci/Tech,"AP - A former dormitory converted to classrooms at the Pensacola Naval Air Station was dedicated Friday to two Columbia astronauts who were among the seven who died in the shuttle disaster Feb. 1, 2003."
Sci/Tech,"AP - A Russian cargo ship docked with the international space station Saturday, bringing food, water, fuel and other items to the two-man Russian-American crew, a space official said."
Sci/Tech,"AP - Along the banks of the canal, women in rowboats grill fish and sell fresh bananas. Families eat on floating pavilions, rocked gently by waves from passing boats."
Sci/Tech,"Reuters - Tyrannosaurus Rex grew incredibly fast
during a teenaged growth spurt that saw the dinosaur expand its
bulk by six times, but the fearsome beasts ""lived fast and died
young,"" researchers said on Wednesday."
Sci/Tech,"Reuters - Procrastinating monkeys were turned
into workaholics using a gene treatment to block a key brain
compound, U.S. researchers reported on Wednesday."
Sci/Tech,"Reuters - Some people are born to be the life and
soul of the party -- and so it seems are some dolphins."
Sci/Tech,"Reuters - As Shakespeare said, a rose by any other
name would smell as sweet. Right?"
Sci/Tech,"Reuters - British scientists said on Wednesday
they had received permission to clone human embryos for medical
research, in what they believe to be the first such license to
be granted in Europe."
Sci/Tech,"SPACE.com - An expedition of Russian researchers claims to have found evidence that an
alien spaceship had something to do with a huge explosion over Siberia in 1908.
Experts in asteroids and comets have long said the massive blast was caused
by a space rock."
Sci/Tech,"SPACE.com - A nearby star thought to harbor comets and asteroids now appears to be home to planets, too. The presumed worlds are smaller than Jupiter and could be as tiny as Pluto, new observations suggest."
Sci/Tech,SPACE.com - A fine display of shooting stars is underway and peaks overnight Wednesday into early Thursday morning. Astronomers expect the 2004 Perseid meteor shower to be one of the best versions of the annual event in several years.
Sci/Tech,"SPACE.com - While the exploration of the Moon and other planets in our solar system is exciting, the first task for astronauts and robots alike is to actually get to those destinations."
Sci/Tech,"AP - Rats can become drug addicts. That's important to know, scientists say, and has taken a long time to prove. Now two studies by French and British researchers show the animals exhibit the same compulsive drive for cocaine as people do once they're truly hooked."
Sci/Tech,"SPACE.com - Amid uncertainty over the fate of the Hubble Space Telescope and with a key instrument not working, NASA Administrator Sean O'Keefe gave the go-ahead Monday for planning a robotic servicing mission."
Sci/Tech,"SPACE.com - Armadillo Aerospace of Mesquite, Texas has reported a
crash last weekend of their prototype X Prize rocket."
Sci/Tech,AP - The black-tailed prairie dog has been dropped from a list of candidates for the federal endangered species list because scientists have concluded the rodents are no longer threatened.
Sci/Tech,SPACE.com - One of the four astronomical instruments on the Hubble Space Telescope shut down earlier this week and engineers are trying to pin down the problem. The other three instruments continue to operate normally.
Sci/Tech,"AP - They burned it, mowed it, sprayed it and flooded it. But nothing killed the purple loosestrife weed, which has become a regional plague, until officials at the Parker River National Wildlife Refuge set a European beetle loose on it."
Sci/Tech,"SPACE.com - NASA researchers have teamed up with a pair of Silicon Valley firms to build
a supercomputer that ranks alongside the world's largest Linux-based systems."
Sci/Tech,"AP - Normally clannish and agressive Argentine ants have become so laid back since arriving in Australia decades ago that they no longer fight neighboring nests and have formed a supercolony here that spans 60 miles, scientists say."
Sci/Tech,"SPACE.com - Every August, when many
people are vacationing in the country where skies are dark, the best-known meteor
shower makes its appearance. The annual Perseid meteor shower, as it is called,
promised to put on an above average display this year."
Sci/Tech,"AP - Rescuers succeeded in freeing a minke whale that washed up on a beach in southeastern Brazil, the fire department said Thursday."
Sci/Tech,"SPACE.com - TORONTO, Canada -- A second
team of rocketeers competing for the $10 million Ansari X Prize, a contest for
privately funded suborbital space flight, has officially announced the first
launch date for its manned rocket."
Sci/Tech,AP - A red-footed falcon spotted for the first time in North America is enticing birdwatchers to Martha's Vineyard.
Sci/Tech,"SPACE.com - Gamma-ray bursts are the most powerful events in the universe, temporary outshining several galaxies and likely signaling the birth of a black hole."
Sci/Tech,AP - The prospect that a tropical storm and a hurricane — or possibly two hurricanes — could strike Florida on the same day is something meteorologists say they have never seen.
Sci/Tech,"SPACE.com - In a prelude of more problems that are likely to arise, both of NASA's Mars
rovers experienced glitches this week as they plow through unknown engineering
territory, operating well beyond what the mission blueprints called for."
Sci/Tech,"AP - NASA's Genesis spacecraft successfully adjusted its course this week as it heads back toward Earth with a sample of solar wind particles, the space agency said Wednesday."
Sci/Tech,"SPACE.com - Flip a coin. Heads, Earth is a common sort of planet. Tails, and ours is as unusual as a coin landing on edge. That's about the state of knowledge for scientists who ponder the question of our planet's rarity."
Sci/Tech,"AP - His hand on a toggle switch and his eyes on a computer screen, Oregon State University graduate student Anthony Kirincich uses an array of scientific instruments to probe the vibrant waters of the Pacific. He is searching for the absence of life."
Sci/Tech,"SPACE.com - DENVER, COLORADO -- Those twin robots hard at work on Mars have transmitted teasing views that reinforce the prospect that microbial life may exist on the red planet."
Sci/Tech,"AP - India is rethinking its plan to send a man to the moon by 2015, as the mission would cost a lot of money and yield very little in return, the national space agency said Thursday."
Sci/Tech,"SPACE.com - When Venus crossed the Sun June 8, showing up as a clear black dot to the delight of millions of skywatchers around the world, astronomers noted something less obvious: The amount of sunlight reaching Earth dipped by 0.1 percent for a few hours."
Sci/Tech,"AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins."
Sci/Tech,"SPACE.com - For those who want to explore Mars but cant wait for a spacecraft to take them there, NASA scientists have reformulated a website that lets the general public search data and images from previous missions."
Sci/Tech,"AP - The U.S. Forest Service on Wednesday rejected environmentalists' appeal of a plan to poison a stream south of Lake Tahoe to aid what wildlife officials call ""the rarest trout in America."""
Sci/Tech,"SPACE.com - One of the pleasures of
stargazing is noticing and enjoying the various colors that stars display in
dark skies. These hues offer direct visual evidence of how stellar temperatures
vary."
Sci/Tech,"AP - Britain granted its first license for human cloning Wednesday, joining South Korea on the leading edge of stem cell research, which is restricted by the Bush administration and which many scientists believe may lead to new treatments for a range of diseases."
Sci/Tech,SPACE.com - A piloted rocket ship race to claim a $10 million Ansari X Prize purse for privately financed flight to the edge of space is heating up.
Sci/Tech,"AP - Here's a dinosaur finding that parents can appreciate: The teenage Tyrannosaurus rex typically went through an explosive growth spurt, gaining nearly 5 pounds a day."
Sci/Tech,"SPACE.com - A leading space scientist has called to question the validity of human spaceflight, suggesting that sending astronauts outward from Earth is outdated, too costly, and the science returned is trivial."
Sci/Tech,"AP - Chinese astronauts are in the final stages of preparing for a manned space mission that will orbit the globe 14 times before returning to Earth, a state-run newspaper reported Thursday."
Sci/Tech,"SPACE.com - A sunspot group aimed squarely
at Earth has grown to 20 times the size of our planet and has the potential
to unleash a major solar storm."
Sci/Tech,"AP - A lunar orbiter that Japan had planned to launch this year could face further delays, possibly until next year or later, because of a funding shortfall and problems developing the probe's information-gathering capabilities, Japan's space agency said Wednesday."
Sci/Tech,AP - Scientists looking into air quality and climate change have found pollutants from as far as Asia over New England and the Atlantic.
Sci/Tech,"AP - Experts from Europe and Asia surveyed 1,400-year-old relics of an ancient citadel in Hanoi Tuesday and said they were concerned the priceless antiquities were at risk from exposure to the elements."
Sci/Tech,"AP - In a victory for environmentalists, a federal judge ruled Tuesday that the Bush administration cannot change the standards commercial fisheries must meet before the tuna they catch can carry the ""dolphin-safe"" label."
Sci/Tech,AP - NASA said Tuesday it is moving ahead with plans to send a robot to the rescue of the aging Hubble Space Telescope.
Sci/Tech,"AP - Cave explorers discovered a pit inside a mountain range in central Croatia believed to have the world's deepest subterranean vertical drop, at nearly 1,700 feet, a scientific institute reported Monday."
Sci/Tech,AP - The chief scientist at the National Aquarium in Baltimore has launched a review of the dolphin breeding program after the death of a 4-month-old dolphin.
Sci/Tech,AP - Meteorologists at North Carolina State University are working on a way to more accurately measure rainfall in small areas.
Sci/Tech,"AP - A team taking a low-budget stab at the $10 million Ansari X Prize for private manned spaceflight suffered a setback Sunday, when their rocket malfunctioned and exploded after shooting less than 1,000 feet in the air."
Sci/Tech,"AP - Pressured by a ranking senator from Nevada and the Environmental Protection Agency, Gov. Kenny Guinn says he might reconsider his opposition to a federal Superfund cleanup declaration for a huge abandoned mine contaminated with toxic waste and uranium."
Sci/Tech,"AP - Authorities once had no choice but to drop rape cases if they weren't able to catch a suspect before the statute of limitations expired. But prosecutors across the country increasingly are buying themselves time, keeping cold cases alive by indicting unidentified rapists using their DNA profiles."
Sci/Tech,"AP - About half the usual number of loggerhead turtles have nested between North Carolina and Florida this season, and scientists have no explanation for the drop."
Sci/Tech,"AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar."
Sci/Tech,"AP - A company that unveiled the world's first cloned cat nearly three years ago now says it is ready to start filling orders for cloned pets, a newspaper reported Thursday."
Sci/Tech,"AP - A new deep-sea research vessel will be able to carry people to 99 percent of the ocean floor, diving deeper than the famed Alvin that pioneered the study of seafloor vents, plate tectonics and deep ocean creatures over the past 40 years."
Sci/Tech,"AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure."
Sci/Tech,"AP - The Southern chorus frog has been found in southeastern Virginia, far outside its previously known range. The animal had never before been reported north of Beaufort County, N.C., about 125 miles to the south."
